time_ms,lat,lng,altitude_m,speed_kmh,course_deg,roll_deg,pitch_deg,yaw_deg,satellites,hdop
131457,43.744346,-79.479508,199.4,0.0,0.0,0.03,0.0,0.0,12,0.95
132496,43.744344,-79.479509,199.4,0.07,0.0,0.06,0.0,0.0,12,0.95
133535,43.744344,-79.479509,199.4,0.02,0.0,0.12,0.0,0.0,12,0.95
134576,43.744344,-79.47951,199.2,0.06,0.0,0.18,0.0,0.0,12,0.95
135615,43.744343,-79.479512,199.0,0.15,0.0,0.24,0.0,0.0,12,0.95
136665,43.744342,-79.479513,198.8,0.04,0.0,0.3,0.0,0.0,12,0.95
137717,43.744341,-79.479515,198.4,0.04,0.0,0.36,0.0,0.0,12,0.95
138774,43.744341,-79.479517,198.2,0.04,0.0,0.42,0.0,0.0,12,0.9
140112,43.744343,-79.479519,197.9,0.02,0.0,0.48,0.0,0.0,12,0.9
141519,43.744343,-79.479519,197.9,0.02,0.0,0.54,0.0,0.0,12,0.9
142575,43.744345,-79.479521,197.7,0.0,0.0,0.6,0.0,0.0,12,0.86
143631,43.744346,-79.479522,197.6,0.02,0.0,0.65,0.0,0.0,12,0.86
144689,43.744347,-79.479522,197.8,0.02,0.0,0.71,0.0,0.0,12,0.86
145752,43.744349,-79.479522,197.8,0.19,0.0,0.77,-29.67,0.0,12,0.86
147231,43.744343,-79.479525,196.9,0.02,0.0,0.83,-29.67,0.0,12,0.86
148508,43.744343,-79.479525,196.9,0.02,0.0,0.89,-29.67,0.0,12,0.86
149564,43.74434,-79.479527,196.6,0.09,0.0,0.94,0.0,0.0,12,0.86
150619,43.74434,-79.479528,196.5,0.07,0.0,1.0,0.0,0.0,12,0.86
151675,43.74434,-79.479527,196.6,0.07,0.0,1.06,0.0,0.0,12,0.86
152730,43.74434,-79.479527,196.8,0.04,0.0,1.11,0.0,0.0,12,0.86
153865,43.744342,-79.479527,196.9,0.02,0.0,1.17,0.0,0.0,12,0.86
155473,43.744344,-79.479527,196.9,0.02,0.0,1.22,0.0,0.0,12,0.86
156534,43.744345,-79.479527,197.1,0.11,0.0,1.28,0.0,0.0,12,0.86
157589,43.744346,-79.479526,197.3,0.17,0.0,1.33,0.0,0.0,12,0.86
158644,43.744347,-79.479525,197.5,0.09,0.0,1.39,0.0,0.0,12,0.86
159700,43.744348,-79.479525,197.6,0.06,0.0,1.44,0.0,0.0,12,0.86
160757,43.744349,-79.479524,197.8,0.0,0.0,1.49,0.0,0.0,12,0.8
162268,43.744351,-79.479523,198.0,0.15,0.0,1.54,0.0,0.0,12,0.8
163526,43.744351,-79.479523,198.0,0.15,0.0,1.59,0.0,0.0,12,0.8
164583,43.744351,-79.479523,198.0,0.15,9.0,1.64,0.0,9.0,12,0.8
165640,43.74435,-79.479523,197.9,0.02,9.0,1.69,0.0,9.0,12,0.8
166699,43.74435,-79.479523,197.9,0.0,9.0,1.74,0.0,9.0,12,0.8
167756,43.74435,-79.479523,197.8,0.02,9.0,1.79,0.0,9.0,12,0.8
169245,43.744352,-79.479524,197.9,0.09,9.0,1.84,0.0,9.0,12,0.8
170524,43.744352,-79.479524,197.9,0.09,9.0,1.89,0.0,9.0,12,0.8
171581,43.744351,-79.479524,197.7,0.04,9.0,1.93,0.0,9.0,12,0.8
172638,43.744351,-79.479525,197.6,0.06,9.0,1.98,0.0,9.0,12,0.8
173695,43.744352,-79.479524,197.7,0.04,9.0,2.02,0.0,9.0,12,0.8
174753,43.744352,-79.479523,197.8,0.06,9.0,2.07,0.0,9.0,12,0.8
176213,43.744351,-79.479525,197.4,0.13,9.0,2.11,0.0,9.0,12,0.8
177523,43.744351,-79.479525,197.4,0.13,9.0,2.15,0.0,9.0,12,0.8
178580,43.744352,-79.479525,197.6,0.13,9.0,2.19,0.0,9.0,12,0.8
179637,43.744352,-79.479524,197.7,0.07,9.0,2.23,0.0,9.0,12,0.8
180694,43.744352,-79.479523,197.8,0.13,9.0,2.27,0.0,9.0,12,0.8
181751,43.744352,-79.479523,197.9,0.13,9.0,2.31,0.0,9.0,12,0.8
183173,43.744351,-79.479521,198.2,0.07,9.0,2.35,0.0,9.0,12,0.88
184517,43.744351,-79.479521,198.2,0.07,9.0,2.39,0.0,9.0,12,0.88
185574,43.744349,-79.47952,198.5,0.04,9.0,2.42,0.0,9.0,12,0.8
186631,43.744349,-79.479521,198.4,0.09,9.0,2.46,0.0,9.0,12,0.8
187689,43.744349,-79.47952,198.7,0.04,9.0,2.49,0.0,9.0,12,0.8
188749,43.744349,-79.47952,198.7,0.06,9.0,2.52,0.0,9.0,12,0.8
190107,43.744348,-79.47952,198.8,0.04,9.0,2.56,0.0,9.0,12,0.8
191516,43.744348,-79.47952,198.8,0.04,9.0,2.59,0.0,9.0,12,0.8
192573,43.744347,-79.479521,198.7,0.04,9.0,2.62,0.0,9.0,12,0.8
193630,43.744346,-79.47952,198.9,0.0,9.0,2.65,0.0,9.0,12,0.8
194688,43.744346,-79.479521,199.0,0.02,9.0,2.67,0.0,9.0,12,0.8
195746,43.744346,-79.479522,199.0,0.02,9.0,2.7,0.0,9.0,12,0.8
197097,43.744346,-79.479523,198.8,0.02,9.0,2.73,0.0,9.0,12,0.8
